Time,Hour_of_Day,Ti_current,Q_heater_prev,T_ambient,Q_internal,Ti_next
1497180,7.88333333333333,295.72346077679,0,287.554156845342,495.777777777778,295.61195588796
1497240,7.89999999999998,295.61195588796,0,287.543915464905,495.111111111111,295.502653602439
1497300,7.91666666666669,295.502653602439,0,287.533583865222,494.444444444444,295.402646705988
1497360,7.93333333333334,295.402646705988,0,287.522871523811,493.777777777778,295.302639809537
1497420,7.94999999999999,295.302639809537,0,287.512159182399,493.111111111111,295.202632913086
1497480,7.96666666666664,295.202632913086,0,287.501446840987,492.444444444444,295.102626016636
1497540,7.98333333333335,295.102626016636,0,287.490734499575,491.777777777778,295.002619120185
1497600,8,295.002619120185,0,287.480022158163,491.111111111111,294.90985195057
1497660,8.01666666666665,294.90985195057,0,287.46896866569,490.444444444444,294.822823378504
1497720,8.03333333333336,294.822823378504,0,287.457644758506,489.777777777778,294.735794806439
1497780,8.05000000000001,294.735794806439,0,287.446320851322,489.111111111111,294.648766234373
1497840,8.06666666666666,294.648766234373,0,287.434996944137,488.444444444444,294.561737662307
1497900,8.08333333333331,294.561737662307,0,287.423673036953,487.777777777778,294.474709090241
1497960,8.10000000000002,294.474709090241,0,287.412349129769,487.111111111111,294.387680518176
1498020,8.11666666666667,294.387680518176,0,287.401025222585,486.444444444444,294.30065194611
1498080,8.13333333333333,294.30065194611,0,287.389701315401,485.777777777778,294.213623374044
1498140,8.14999999999998,294.213623374044,0,287.378377408217,485.111111111111,294.243073094661
1498200,8.16666666666669,294.243073094661,3000,287.366890041169,484.444444444444,294.589150855645
1498260,8.18333333333334,294.589150855645,3000,287.354958334019,483.777777777778,294.93522861663
1498320,8.19999999999999,294.93522861663,3000,287.34302662687,483.111111111111,295.281306377614
1498380,8.21666666666664,295.281306377614,3000,287.331094919721,482.444444444444,295.627384138598
1498440,8.23333333333335,295.627384138598,3000,287.319163212571,481.777777777778,295.973461899582
1498500,8.25,295.973461899582,3000,287.307231505422,481.111111111111,296.091155498164
1498560,8.26666666666665,296.091155498164,0,287.295076390974,480.444444444444,295.971037448061
1498620,8.28333333333336,295.971037448061,0,287.282688647181,479.777777777778,295.850919397957
1498680,8.30000000000001,295.850919397957,0,287.270300903387,479.111111111111,295.730801347854
1498740,8.31666666666666,295.730801347854,0,287.257913159594,478.444444444444,295.61068329775
1498800,8.33333333333331,295.61068329775,0,287.245525415801,477.777777777778,295.490565247647
1498860,8.35000000000002,295.490565247647,0,287.233137672008,477.111111111111,295.379379365317
1498920,8.36666666666667,295.379379365317,0,287.220431331962,476.444444444444,295.271826950918
1498980,8.38333333333333,295.271826950918,0,287.207595391879,475.777777777778,295.164274536519
1499040,8.39999999999998,295.164274536519,0,287.194759451796,475.111111111111,295.05672212212
1499100,8.41666666666669,295.05672212212,0,287.181923511713,474.444444444444,294.949169707721
1499160,8.43333333333334,294.949169707721,0,287.16908757163,473.777777777778,294.841617293322
1499220,8.44999999999999,294.841617293322,0,287.156251631547,473.111111111111,294.745410074973
1499280,8.46666666666664,294.745410074973,0,287.142954740614,472.444444444444,294.65003332357
1499340,8.48333333333335,294.65003332357,0,287.129624108135,471.777777777778,294.554656572167
1499400,8.5,294.554656572167,0,287.116293475657,471.111111111111,294.459279820763
1499460,8.51666666666665,294.459279820763,0,287.102962843178,470.444444444444,294.36390306936
1499520,8.53333333333336,294.36390306936,0,287.0896322107,469.777777777778,294.268526317956
1499580,8.55000000000001,294.268526317956,0,287.076301578221,469.111111111111,294.173149566553
1499640,8.56666666666666,294.173149566553,0,287.062970945743,468.444444444445,294.404802017616
1499700,8.58333333333331,294.404802017616,3000,287.04927070248,467.777777777778,294.74127074116
1499760,8.60000000000002,294.74127074116,3000,287.035451995104,467.111111111111,295.077739464705
1499820,8.61666666666667,295.077739464705,3000,287.021633287727,466.444444444444,295.414208188249
1499880,8.63333333333333,295.414208188249,3000,287.007814580351,465.777777777778,295.750676911794
1499940,8.64999999999998,295.750676911794,3000,286.993995872974,465.111111111111,296.087145635338
1500000,8.66666666666669,296.087145635338,3000,286.980177165598,464.444444444444,296.044956595866
1500060,8.68333333333334,296.044956595866,0,286.966006260121,463.777777777778,295.915782746034
1500120,8.69999999999999,295.915782746034,0,286.951754448115,463.111111111111,295.786608896201
1500180,8.71666666666664,295.786608896201,0,286.93750263611,462.444444444444,295.657435046368
1500240,8.73333333333335,295.657435046368,0,286.923250824104,461.777777777778,295.528261196535
1500300,8.75,295.528261196535,0,286.908999012099,461.111111111111,295.399087346702
1500360,8.76666666666665,295.399087346702,0,286.894747200093,460.444444444444,295.281909570683
1500420,8.78333333333336,295.281909570683,0,286.880127303626,459.777777777778,295.166538508491
1500480,8.80000000000001,295.166538508491,0,286.865451970413,459.111111111111,295.051167446298
1500540,8.81666666666666,295.051167446298,0,286.8507766372,458.444444444444,294.935796384106
